John Tree Names,Gender,Languages,Form,Parent Name,Level
Joaozinho,M,Portuguese,Diminutive,Joao,6

Jogvan,M,Faroese,Full,Iohannes,5

Johan,M,Danish,Full,Iohannes,5

Johan,M,Dutch,Full,Iohannes,5

Han,M,Dutch,Diminutive,Johan,6

Jo,M,Dutch,Diminutive,Johan,6

Joes,M,Dutch,Diminutive,Johan,6

Joop,M,Dutch,Diminutive,Johan,6

Johan,M,Norwegian,Full,Iohannes,5

Jo,M,Norwegian,Diminutive,Johan,6

Johan,M,Swedish,Full,Iohannes,5

Johann,M,Icelandic,Full,Iohannes,5

Johann,M,German,Full,Iohannes,5

Jo,M,German,Diminutive,Johann,6

Yoan,M,French,Variant,Johann,6

Yoann,M,French,Variant,Johann,6

Yohan,M,French,Variant,Johann,6

Yohann,M,French,Variant,Johann,6

Johannes,M,Faroese,Full,Iohannes,5

Johannes,M,Icelandic,Full,Iohannes,5

Hannes,M,Icelandic,Diminutive,Johannes,6

Johannes,M,Danish,Full,Iohannes,5

Johannes,M,Dutch,Full,Iohannes,5

Han,M,Dutch,Diminutive,Johannes,6

Hanne,M,Dutch,Diminutive,Johannes,6

Hannes,M,Dutch,Diminutive,Johannes,6

Jannie,M,Afrikaans,Diminutive,Johannes,6

Jo,M,Dutch,Diminutive,Johannes,6

Joes,M,Dutch,Diminutive,Johannes,6

Joop,M,Dutch,Diminutive,Johannes,6

Johannes,M,Estonian,Full,Iohannes,5

Hannes,M,Estonian,Diminutive,Johannes,6

Johannes,M,Finnish,Full,Iohannes,5

Hannes,M,Finnish,Diminutive,Johannes,6

Hannu,M,Finnish,Diminutive,Johannes,6

Jukka,M,Finnish,Diminutive,Johannes,6

Johannes,M,German,Full,Iohannes,5

Hannes,M,German,Diminutive,Johannes,6

Hanus,M,Czech,Variant,Hannes,7

Hans,M,German,Diminutive,Johannes,6

Hansel,M,German,Diminutive,Hans,7

Ants,M,Estonian,Variant,Hans,7

Hans,M,Danish,Diminutive,Johannes,6

Hans,M,Dutch,Diminutive,Johannes,6

Hans,M,Norwegian,Diminutive,Johannes,6

Hans,M,Swedish,Diminutive,Johannes,6

Hampus,M,Swedish,Diminutive,Hans,7

Hasse,M,Swedish,Diminutive,Hans,7

Honza,M,Czech,Variant,Hans,7

