Name,Sex,Count,Year
deasia,f,4927,42
brionna,f,4918,47
christene,f,4916,107
priscila,f,4897,57
nena,f,4896,143
luana,f,4893,114
audrianna,f,4890,41
ouida,f,4886,97
zoya,f,4885,41
geralyn,f,4875,85
emogene,f,4871,72
aleigha,f,4867,45
ema,f,4857,129
shirlene,f,4856,80
eulalia,f,4854,144
tresa,f,4849,106
nailah,f,4848,55
amiah,f,4832,32
ariadne,f,4824,62
natali,f,4822,61
krystina,f,4819,65
rina,f,4809,119
dorinda,f,4801,96
vivianna,f,4798,54
janeth,f,4792,107
niya,f,4790,51
norene,f,4790,98
devorah,f,4789,82
celena,f,4789,94
dorotha,f,4788,77
emmalynn,f,4780,34
kataleya,f,4780,15
kati,f,4772,69
keara,f,4767,54
naima,f,4757,57
honey,f,4757,113
makaila,f,4747,41
brittanie,f,4738,43
tarah,f,4737,61
allegra,f,4732,116
adalee,f,4731,44
giada,f,4720,25
jesica,f,4720,54
jaslyn,f,4716,46
lakeshia,f,4710,41
daisha,f,4696,56
bryleigh,f,4689,28
lorinda,f,4682,110
ferne,f,4676,83
karolina,f,4676,57
lashanda,f,4674,45
isadora,f,4668,128
erlinda,f,4656,116
myranda,f,4650,51
alida,f,4650,146
kalea,f,4646,49
shalonda,f,4632,47
bernita,f,4630,92
aubrianna,f,4628,38
shanelle,f,4625,60
ronna,f,4623,77
jolynn,f,4620,89
florene,f,4616,81
letty,f,4615,136
aiyanna,f,4609,36
elizebeth,f,4603,140
izabelle,f,4603,34
janiah,f,4598,33
maylee,f,4596,45
guinevere,f,4592,100
analise,f,4592,49
zenobia,f,4592,141
vita,f,4591,127
cinda,f,4590,105
mellisa,f,4575,63
zona,f,4567,129
abrielle,f,4567,41
novalee,f,4567,30
tyesha,f,4564,46
anisha,f,4546,58
leela,f,4545,71
marlie,f,4542,55
marielle,f,4530,71
addilynn,f,4524,22
tanika,f,4522,44
citlali,f,4519,42
calli,f,4517,68
samaria,f,4511,62
jerrica,f,4491,53
mallorie,f,4491,48
ailyn,f,4490,38
lavada,f,4489,128
cherise,f,4484,72
elna,f,4478,105
gigi,f,4472,85
hadleigh,f,4467,32
maite,f,4466,57
pricilla,f,4466,118
sibyl,f,4464,124
itzayana,f,4464,33
melony,f,4459,79
chrissy,f,4459,72
carolee,f,4458,85
malina,f,4452,71
zula,f,4450,100
ethelyn,f,4450,94
lilla,f,4440,135
kaleah,f,4439,45
lita,f,4437,125
grayce,f,4424,129
mylee,f,4420,39
dedra,f,4418,64
avalynn,f,4416,24
herlinda,f,4410,125
calla,f,4408,132
shiela,f,4408,79
mindi,f,4405,65
julisa,f,4404,59
debrah,f,4404,68
almeda,f,4402,106
myrtie,f,4401,83
carie,f,4399,93
franchesca,f,4394,68
mechelle,f,4386,69
marylin,f,4379,107
anitra,f,4379,77
symone,f,4376,55
nella,f,4374,131
lenna,f,4373,146
malayah,f,4367,30
maiya,f,4366,50
elmira,f,4360,125
charlette,f,4360,109
emi,f,4360,77
georgene,f,4354,72
neha,f,4351,57
jeraldine,f,4345,100
myrtice,f,4342,88
lilyan,f,4339,100
dariana,f,4338,41
anjelica,f,4336,59
renea,f,4335,86
stefany,f,4330,67
cherrie,f,4319,104
britni,f,4315,37
verona,f,4314,129
acacia,f,4310,55
cassondra,f,4310,62
jianna,f,4306,38
denisha,f,4306,56
jazzlyn,f,4303,43
elicia,f,4295,77
kalina,f,4288,56
linette,f,4285,90
velva,f,4274,94
suzy,f,4270,97
abrianna,f,4269,40
aila,f,4268,38
aubriella,f,4266,22
meera,f,4259,60
nyomi,f,4254,39
jacinda,f,4252,64
delphia,f,4251,114
taniyah,f,4247,33
gisela,f,4246,92
crista,f,4246,71
sheyla,f,4241,53
leilah,f,4241,52
odette,f,4239,129
tawny,f,4228,73
jocelyne,f,4228,74
alanah,f,4226,42
eda,f,4208,144
maisy,f,4207,35
joella,f,4204,123
joselin,f,4204,49
barbie,f,4204,89
samatha,f,4202,51
tasia,f,4186,64
stormi,f,4184,64
risa,f,4177,84
evelyne,f,4177,126
carma,f,4169,119
karlene,f,4167,108
stephaine,f,4165,62
laurene,f,4158,108
kirstie,f,4151,58
yulissa,f,4151,42
kamora,f,4147,28
cherri,f,4146,66
gretta,f,4139,142
kathaleen,f,4136,100
mahogany,f,4134,51
dasha,f,4133,58
inga,f,4127,146
leesa,f,4124,65
adah,f,4123,128
marleen,f,4121,100
ria,f,4115,83
elayne,f,4114,114
fonda,f,4113,86
beatrix,f,4110,99
brynleigh,f,4107,24
tallulah,f,4102,62
samiya,f,4096,43
seraphina,f,4093,40
cristine,f,4091,89
margaux,f,4089,51
delana,f,4089,104
alea,f,4085,59
arianne,f,4076,67
saoirse,f,4068,32
raylene,f,4065,100
eldora,f,4065,97
zulema,f,4062,113
josefa,f,4062,145
tawanda,f,4058,52
malena,f,4058,76
jasmyne,f,4052,49
chelsi,f,4050,54
dannielle,f,4050,69
iyla,f,4045,27
yarely,f,4040,38
simona,f,4038,125
krysten,f,4038,60
delfina,f,4037,136
suzann,f,4034,77
nechama,f,4030,67
stormie,f,4029,67
ariadna,f,4028,51
malorie,f,4027,53
vernita,f,4027,92
sudie,f,4024,93
rochel,f,4023,78
sherita,f,4022,57
cleta,f,4013,88
leeanna,f,4008,111
quiana,f,3999,55
alisia,f,3999,85
pia,f,3984,94
rosaline,f,3984,128
suzie,f,3984,107
lissa,f,3979,86
rachell,f,3976,101
katlynn,f,3975,38
meilani,f,3971,40
hortencia,f,3969,113
catarina,f,3965,129
janaya,f,3965,53
jacqulyn,f,3958,90
yessica,f,3956,53
zayla,f,3949,32
kimberli,f,3942,73
luvenia,f,3932,112
sherilyn,f,3930,89
zaida,f,3929,104
kimberlyn,f,3926,71
corene,f,3919,109
tabetha,f,3917,50
dayanna,f,3916,42
raeann,f,3915,87
jerica,f,3914,56
queenie,f,3912,141
yaneli,f,3911,42
analisa,f,3897,67
jolee,f,3897,81
jackelyn,f,3896,68
oriana,f,3883,59
kindra,f,3883,69
liane,f,3879,99
shianne,f,3876,52
tawanna,f,3874,59
yolonda,f,3874,69
zendaya,f,3873,15
sharee,f,3871,77
lili,f,3862,93
karoline,f,3862,95
angelic,f,3859,67
freyja,f,3858,29
cailey,f,3857,42
barb,f,3853,33
jaquelin,f,3851,60
keyana,f,3842,54
ariela,f,3841,50
tyanna,f,3839,61
ellyn,f,3836,115
wynona,f,3836,117
kiarra,f,3832,45
rianna,f,3826,50
ayva,f,3823,26
debi,f,3823,50
charisma,f,3815,58
izabel,f,3814,42
emalee,f,3814,60
isobel,f,3802,103
joseline,f,3798,49
yetta,f,3793,106
meghann,f,3788,36
loriann,f,3785,72
marge,f,3784,81
tangela,f,3784,54
giulia,f,3783,64
azucena,f,3783,73
annamaria,f,3783,87
sharen,f,3782,68
lyanna,f,3772,42
thomasina,f,3765,108
herminia,f,3757,119
laverna,f,3733,91
bethanie,f,3733,72
vianey,f,3732,58
aanya,f,3732,28
bronwyn,f,3729,84
audree,f,3727,109
jaleah,f,3727,37
jamiyah,f,3721,31
lanita,f,3721,107
lluvia,f,3721,51
annamae,f,3715,118
gitty,f,3715,67
serafina,f,3712,112
christel,f,3712,103
aditi,f,3712,48
temperance,f,3709,52
laniyah,f,3704,30
nydia,f,3704,100
jessalyn,f,3700,57
fatimah,f,3700,65
avalyn,f,3697,26
vincenza,f,3692,131
randa,f,3690,90
aviva,f,3685,84
emiliana,f,3684,39
britta,f,3682,86
maile,f,3680,94
kimberlie,f,3678,74
kamya,f,3678,31
anayah,f,3672,30
tinley,f,3663,24
elenora,f,3661,117
noelani,f,3661,63
anniston,f,3660,30
faigy,f,3657,57
jeniffer,f,3656,63
debbra,f,3652,48
evalynn,f,3649,45
saira,f,3645,57
olympia,f,3644,127
keanna,f,3638,52
abbygail,f,3633,40
makenzi,f,3631,41
katherin,f,3630,115
louvenia,f,3625,109
zadie,f,3615,114
emme,f,3613,37
alise,f,3613,107
emeline,f,3612,141
reem,f,3610,57
zahara,f,3609,40
viva,f,3605,126
elowyn,f,3599,17
loreen,f,3596,110
ena,f,3587,143
carolyne,f,3587,125
lavonda,f,3586,82
brittny,f,3585,42
angella,f,3581,103
keyonna,f,3581,53
samia,f,3580,69
candida,f,3580,111
nayla,f,3579,43
palma,f,3574,94
delila,f,3574,141
melania,f,3573,88
drucilla,f,3571,129
laina,f,3569,82
paisleigh,f,3568,20
cyndi,f,3568,73
georgetta,f,3563,98
joetta,f,3558,94
tiarra,f,3556,50
chava,f,3552,66
miyah,f,3550,37
zandra,f,3547,89
jacinta,f,3546,108
janene,f,3545,72
janett,f,3542,110
keturah,f,3541,101
charolette,f,3536,110
rosalynn,f,3533,87
spring,f,3528,75
zaniya,f,3527,30
jalissa,f,3526,41
dafne,f,3523,38
jennette,f,3522,125
nariah,f,3521,35
talitha,f,3521,118
rafaela,f,3516,134
xena,f,3513,34
lillyana,f,3513,31
suri,f,3512,44
karena,f,3508,74
kyara,f,3507,40
rosia,f,3506,104
tahlia,f,3504,50
mayte,f,3503,59
domenica,f,3503,124
madelyne,f,3502,108
tenisha,f,3501,44
kathlene,f,3500,97
tala,f,3497,55
shaelyn,f,3494,46
josephina,f,3494,107
chassidy,f,3490,54
veronika,f,3480,73
deedee,f,3478,67
laraine,f,3478,89
ardella,f,3478,105
sanjuanita,f,3476,70
aadhya,f,3476,19
brookelynn,f,3475,41
shanae,f,3471,56
carri,f,3466,52
keyanna,f,3464,51
taliah,f,3462,50
larisa,f,3458,71
kera,f,3458,64
inaya,f,3453,30
shanita,f,3450,47
leda,f,3448,146
ameera,f,3447,50
kaeli,f,3447,44
solana,f,3446,47
leighann,f,3441,69
jordana,f,3434,66
larae,f,3426,106
brynley,f,3425,30
